,toid,mean_depth,p90ile_depth,Class,Area
2199,osgb1000030433795,0.021,0.041,A) Low,90
2200,osgb1000030362203,0.004,0.007,A) Low,54
2201,osgb1000030434567,0.038,0.084,A) Low,66
2202,osgb1000030364167,0.046,0.102,A) Low,71
2203,osgb1000030364053,0.014,0.028,A) Low,65
2204,osgb1000030361821,0.139,0.36,C) High,76
2205,osgb1000030364517,0.006,0.013,A) Low,120
2206,osgb1000030364293,0.011,0.008,A) Low,104
2207,osgb1000030362207,0.003,0.005,A) Low,58
2208,osgb1000030364256,0.008,0.01,A) Low,92
2209,osgb1000030361601,0.113,0.202,B) Medium,87
2210,osgb1000030363788,0.017,0.039,A) Low,86
2211,osgb1000030363933,0.074,0.112,A) Low,110
2212,osgb1000030363895,0.005,0.008,A) Low,127
2213,osgb1000030364509,0.034,0.089,A) Low,52
2214,osgb1000030433484,0.033,0.098,A) Low,79
2215,osgb1000030363718,0.059,0.118,A) Low,536
2216,osgb1000030364452,0.003,0.004,A) Low,101
2217,osgb1000030365925,0.167,0.295,B) Medium,87
2218,osgb1000030281784,0.008,0.008,A) Low,1
2219,osgb1000030361560,0.01,0.023,A) Low,81
2220,osgb1000030361640,0.029,0.055,A) Low,34
2221,osgb1000030364262,0.002,0.003,A) Low,88
2222,osgb1000030361731,0.031,0.038,A) Low,11
2223,osgb1000030361645,0.006,0.009,A) Low,23
2224,osgb1000030433492,0.019,0.041,A) Low,73
2225,osgb1000030433489,0.023,0.05,A) Low,70
2226,osgb1000030363919,0.024,0.062,A) Low,91
2227,osgb1000042936459,0.009,0.009,A) Low,107
2228,osgb1000030363814,0.025,0.092,A) Low,81
2229,osgb1000030364312,0.002,0.003,A) Low,166
2230,osgb1000030364471,0.02,0.057,A) Low,101
2231,osgb1000042936457,0.006,0.007,A) Low,89
2232,osgb1000030365897,0.014,0.023,A) Low,76
2233,osgb1000030365896,0.02,0.043,A) Low,113
2234,osgb1000030433799,0.051,0.088,A) Low,53
2235,osgb1000030365928,0.096,0.237,A) Low,69
2236,osgb1000030364484,0.003,0.004,A) Low,19
2237,osgb5000005125094023,0.062,0.099,A) Low,231
2238,osgb1000030363805,0.212,0.419,C) High,156
2239,osgb1000030361830,0.031,0.064,A) Low,25
2240,osgb1000030363958,0.122,0.14,B) Medium,106
2241,osgb1000030363843,0.041,0.134,A) Low,99
2242,osgb1000030364197,0.032,0.114,A) Low,88
2243,osgb1000030364498,0.021,0.04,A) Low,89
2244,osgb1000042936455,0.006,0.008,A) Low,81
2245,osgb1000030364506,0.058,0.151,A) Low,57
2246,osgb1000030363996,0.004,0.005,A) Low,96
2247,osgb1000030363846,0.003,0.005,A) Low,80
2248,osgb1000030364076,0.018,0.036,A) Low,88
2249,osgb1000030364249,0.023,0.038,A) Low,24
2250,osgb1000030364508,0.056,0.104,A) Low,52
2251,osgb1000030361672,0.138,0.235,B) Medium,58
2252,osgb1000030364437,0.008,0.007,A) Low,146
2253,osgb1000030364122,0.017,0.027,A) Low,90
2254,osgb1000030284162,0.168,0.758,C) High,1169
2255,osgb1000030361681,0.002,0.003,A) Low,87
2256,osgb1000030364344,0.002,0.003,A) Low,9
2257,osgb1000030364124,0.021,0.036,A) Low,11
2258,osgb1000002310334233,0.007,0.013,A) Low,134
2259,osgb1000030363753,0.047,0.069,A) Low,84
2260,osgb1000030361552,0.056,0.132,A) Low,59
2261,osgb1000030361685,0.173,0.35,C) High,93
2262,osgb1000030365920,0.002,0.003,A) Low,108
2263,osgb1000042571324,0.036,0.16,A) Low,83
2264,osgb1000030363993,0.002,0.003,A) Low,100
2265,osgb1000030364352,0.012,0.02,A) Low,15
2266,osgb1000030363799,0.005,0.009,A) Low,92
2267,osgb1000030361816,0.119,0.234,B) Medium,85
2268,osgb1000042808378,0.009,0.013,A) Low,82
2269,osgb1000030363992,0.003,0.005,A) Low,82
2270,osgb1000030363997,0.005,0.008,A) Low,103
2271,osgb1000030364182,0.019,0.042,A) Low,133
2272,osgb1000030364071,0.049,0.071,A) Low,92
2273,osgb1000030363973,0.059,0.127,A) Low,83
2274,osgb1000030364215,0.009,0.021,A) Low,60
2275,osgb1000030364434,0.056,0.109,A) Low,116
2276,osgb1000030433421,0.003,0.004,A) Low,73
2277,osgb1000030361622,0.012,0.025,A) Low,152
2278,osgb1000030364113,0.017,0.038,A) Low,67
2279,osgb1000030363966,0.025,0.078,A) Low,71
2280,osgb1000030365926,0.179,0.295,B) Medium,81
2281,osgb1000002020965804,0.097,0.198,A) Low,85
